SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
1,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,01-01-2000 08:30,0
2,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,02-01-2000 08:30,0
3,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,03-01-2000 08:30,0
4,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,04-01-2000 08:30,0
5,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,05-01-2000 08:30,0
6,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,06-01-2000 08:30,0
7,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,07-01-2000 08:30,0
8,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,08-01-2000 08:30,0
9,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,09-01-2000 08:30,0
10,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,10-01-2000 08:30,0
11,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,11-01-2000 08:30,0
12,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,12-01-2000 08:30,0
13,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,13-01-2000 08:30,0
14,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,14-01-2000 08:30,0
15,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,15-01-2000 08:30,0
16,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,16-01-2000 08:30,0
17,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,17-01-2000 08:30,0
18,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,18-01-2000 08:30,0
19,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,19-01-2000 08:30,0
20,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,20-01-2000 08:30,0
21,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,21-01-2000 08:30,0
22,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,22-01-2000 08:30,0
23,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,23-01-2000 08:30,0
24,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,24-01-2000 08:30,0
25,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,25-01-2000 08:30,0
26,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,26-01-2000 08:30,0
27,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,27-01-2000 08:30,0
28,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,28-01-2000 08:30,0
29,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,29-01-2000 08:30,0
30,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,30-01-2000 08:30,0
31,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,31-01-2000 08:30,0
32,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,01-02-2000 08:30,0
33,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,02-02-2000 08:30,0
34,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,03-02-2000 08:30,0
35,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,04-02-2000 08:30,0
36,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,05-02-2000 08:30,0
37,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,06-02-2000 08:30,0
38,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,07-02-2000 08:30,0
39,Anterbeliya,Madhya Pradesh SW,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,Mahi,Mahi,Anas,-,-,Anas,22.85777778,74.55138889,08-02-2000 08:30,0
